Einschreibeschluessel,Kuerzel,Semesterzug,"Name der Vorlesung",Kurzbezeichnung,Dozent,Bemerkungen,"Weiterer Link",Moodle-Link,Evaluierungswunsch
Schw_WiSe2425,HET,ID5,TechnSchwin,TES,HENTSCHEL,," ","https://moodle.hs-hannover.de/course/view.php?id=27446 ",
Schw_WiSe2425,HET,II4,TechnSchwin,TES,HENTSCHEL,," ","https://moodle.hs-hannover.de/course/view.php?id=27446 ",
Schw_WiSe2425,HET,MT5,TechnSchwin,TES,HENTSCHEL,," ","https://moodle.hs-hannover.de/course/view.php?id=27446 ",
Schw_WiSe2425,HET,PS4,TechnSchwin,TES,HENTSCHEL,," ","https://moodle.hs-hannover.de/course/view.php?id=27446 ",
ohne,SAK,KT5,"Thermodyn 1",THD1,SAKUTH,," ","https://moodle.hs-hannover.de/course/view.php?id=26707 ",
Mayer,JAN,M2A,"Thermodyn 1",THD1,JANSSEN,," ","https://moodle.hs-hannover.de/course/view.php?id=26707 ",
ohne,SAK,PT5,"Thermodyn 1",THD1,SAKUTH,," ","https://moodle.hs-hannover.de/course/view.php?id=26707 ",
Mayer,JAN,VE2,"Thermodyn 1",THD1,JANSSEN,," ","https://moodle.hs-hannover.de/course/view.php?id=26707 ",
Mayer,JAN,WI2,"Thermodyn 1",THD1,JANSSEN,," ","https://moodle.hs-hannover.de/course/view.php?id=26707 ",
ohne,SAK,WT5,"Thermodyn 1",THD1,SAKUTH,," ","https://moodle.hs-hannover.de/course/view.php?id=26707 ",
Nusselt,JAN,AM4,"Thermodyn 2",THD2,JANSSEN,,"https://moodle.hs-hannover.de/course/view.php?id=26706 ","https://moodle.hs-hannover.de/course/view.php?id=26700 ",
Nusselt,JAN,VE4,"Thermodyn 2",THD2,JANSSEN,,"https://moodle.hs-hannover.de/course/view.php?id=26706 ","https://moodle.hs-hannover.de/course/view.php?id=26700 ",
TSMWS2425,PIN,VM4,ThermStrMaK,TSK,PINDRUS,," ","https://moodle.hs-hannover.de/course/view.php?id=27474 ",
TSMWS2425,PIN,VM4,ThermStrMaL,TSL,PINDRUS,," ","https://moodle.hs-hannover.de/course/view.php?id=27474 ",
TSMWS2425,PIN,VM4,ThermStrMas,TSM,PINDRUS,," ","https://moodle.hs-hannover.de/course/view.php?id=27474 ",
LaborTVT1_2425,JAS,VE5,ThermVerfL1,TVL1,JANSEN,," ","https://moodle.hs-hannover.de/course/view.php?id=27206 ",
TVT1_VL_2425,JAS,VE5,ThermVerft1,TVT1,JANSEN,," ","https://moodle.hs-hannover.de/course/view.php?id=27207 ",
TVT2_VL_2425,JAS,VM6,ThermVerft2,TVT2,JANSEN,"<p dir=""ltr"" style=""text-align:left;"">Kurs zur Vorlesung TVT2</p>"," ","https://moodle.hs-hannover.de/course/view.php?id=27205 ",
LaborTVT2_2425,JAS,VU6,ThermVerft2,TVT2,JANSEN,"<p dir=""ltr"" style=""text-align:left;"">Kurs zum Labor TVT2<br /></p>"," ","https://moodle.hs-hannover.de/course/view.php?id=27203 ",
WiSe2024,BIL,PS6,UmformT-L,UFL,BILGEN,," ","https://moodle.hs-hannover.de/course/view.php?id=26722 ",
WiSe2024,BIL,VM1,UmformT-L,UFL,BILGEN,," ","https://moodle.hs-hannover.de/course/view.php?id=26722 ",
WiSe2024,BIL,PS6,UmformMa,UFM,BILGEN,," ","https://moodle.hs-hannover.de/course/view.php?id=26723 ",
WiSe2024,BIL,PT5,UmformMa,UFM,BILGEN,," ","https://moodle.hs-hannover.de/course/view.php?id=26723 ",
WiSe2024,BIL,VM1,UmformMa,UFM,BILGEN,," ","https://moodle.hs-hannover.de/course/view.php?id=26723 ",
WiSe2024,BIL,PS6,UmformT,UFT,BILGEN,," ","https://moodle.hs-hannover.de/course/view.php?id=26721 ",
WiSe2024,BIL,VM1,UmformT,UFT,BILGEN,," ","https://moodle.hs-hannover.de/course/view.php?id=26721 ",
UT2-2024-25,SAK,VM5,Umweltanaly.,UMA,SAKUTH,," ","https://moodle.hs-hannover.de/course/view.php?id=27236 ",
WiSe2024,BIL,KT3,Umformen,UMF,BILGEN,," ","https://moodle.hs-hannover.de/course/view.php?id=26720 ",
WiSe2024,BIL,M2A,Umformen,UMF,BILGEN,," ","https://moodle.hs-hannover.de/course/view.php?id=26720 ",
WiSe2024,BIL,PT3,Umformen,UMF,BILGEN,," ","https://moodle.hs-hannover.de/course/view.php?id=26720 ",
WiSe2024,BIL,VE2,Umformen,UMF,BILGEN,," ","https://moodle.hs-hannover.de/course/view.php?id=26720 ",
WiSe2024,BIL,WI4,Umformen,UMF,BILGEN,," ","https://moodle.hs-hannover.de/course/view.php?id=26720 ",
"Bitte per E-Mail beim Dozenten erfragen",SNI,WI6,Unternfuehr,UNF,SCHNITZLER,"<p dir=""ltr"" style=""text-align:left;""></p><p dir=""ltr"">Weitere Infos zu den Lehrveranstaltungen der Fakultät IV finden SIe unter: <br /><a href=""https://moodle.hs-hannover.de/course/view.php?id=2446"" target=""_blank"" rel=""noreferrer noopener"">https://moodle.hs-hannover.de/course/view.php?id=2446</a></p><p dir=""ltr""><br /></p><br /><p></p>"," "," ",
WiSe2425,PFA,KT3,Urformen,URF,PFAHL,," ","https://moodle.hs-hannover.de/course/view.php?id=26796 ",
WiSe2425,PFA,PT3,Urformen,URF,PFAHL,," ","https://moodle.hs-hannover.de/course/view.php?id=26796 ",
WiSe2425,PFA,M2A,Urform&Fueg,UUF,PFAHL,," ","https://moodle.hs-hannover.de/course/view.php?id=26795 ",
WiSe2425,PFA,VE2,Urform&Fueg,UUF,PFAHL,," ","https://moodle.hs-hannover.de/course/view.php?id=26795 ",
WiSe2425,PFA,WI4,Urform&Fueg,UUF,PFAHL,," ","https://moodle.hs-hannover.de/course/view.php?id=26795 ",
UWTL_2425,NAD,VE5,UmweltT-L,UWL,NADOLNY,," ","https://moodle.hs-hannover.de/course/view.php?id=27167 ",
Verkaufen!,NIR,WI5,Vertrieb,VER,NIEROBISCH,," ","https://moodle.hs-hannover.de/course/view.php?id=27379 ",
2024_WS_VIF,SCH,PS5,Virt.Fertig,VIF,SCHNEIDER,," ","https://moodle.hs-hannover.de/course/view.php?id=26843 ",
1537,WAD,PS5,Virt.FertiL,VIL,WALDT,," ","https://moodle.hs-hannover.de/course/view.php?id=27217 ",
"Bitte per E-Mail beim Dozenten erfragen",SCB,ME2,Verstechpln,VTPD,SCHUBERT,," ","https://moodle.hs-hannover.de/course/view.php?id=27318 ",
"Bitte per E-Mail beim Dozenten erfragen",SCB,WB2,Verstechpln,VTPD,SCHUBERT,," ","https://moodle.hs-hannover.de/course/view.php?id=27318 ",
"Bitte per E-Mail beim Dozenten erfragen",SCB,WP2,Verstechpln,VTPD,SCHUBERT,," ","https://moodle.hs-hannover.de/course/view.php?id=27318 ",
Kyoto1997,MEY,VM3,WasserstfL,WAL,MEYER,," ","https://moodle.hs-hannover.de/course/view.php?id=27228 ",
Kyoto1997,MEY,VM3,WasserstTec,WAS,MEYER,," ","https://moodle.hs-hannover.de/course/view.php?id=27228 ",
WKL-WiSe2024,CLA,KT3,Wkst.Ku-L,WKL,"CLAßEN-GEO. ","<p dir=""ltr"" style=""text-align:left;"">Nachmeldungen für die Freitag 8:00 Uhr-Gruppe bitte an birgit.classen-georgiadis@hs-hannover.de richten.</p><p dir=""ltr"" style=""text-align:left;"">Rückmeldung am 23.09.2024<br /></p>"," ","https://moodle.hs-hannover.de/course/view.php?id=26442 Werkstoffkunde-Labor",
WKL-WiSe2024,CLA,M2A,Wkst.Ku-L,WKL,"CLAßEN-GEO. ",," ","https://moodle.hs-hannover.de/course/view.php?id=26442 Werkstoffkunde-Labor",
WKL-WiSe2024,CLA,PT3,Wkst.Ku-L,WKL,"CLAßEN-GEO. ","<p dir=""ltr"" style=""text-align:left;""></p><p dir=""ltr"">Nachmeldungen für die Freitag 8:00 Uhr-Gruppe bitte an birgit.classen-georgiadis@hs-hannover.de richten.</p><p dir=""ltr"">Rückmeldung am 23.09.2024</p><br /><p></p>"," ","https://moodle.hs-hannover.de/course/view.php?id=26442 Werkstoffkunde-Labor",
WKL-WiSe2024,CLA,VE2,Wkst.Ku-L,WKL,"CLAßEN-GEO. ",," ","https://moodle.hs-hannover.de/course/view.php?id=26442 Werkstoffkunde-Labor",
WKL-WiSe2024,CLA,WI2,Wkst.Ku-L,WKL,"CLAßEN-GEO. ",," ","https://moodle.hs-hannover.de/course/view.php?id=26442 Werkstoffkunde-Labor",
M3BII2_24/25,NAD,II2,WissSchrPrs,WSP,NADOLNY,," ","https://moodle.hs-hannover.de/course/view.php?id=27114 ",
M3AVE3_2425,NAD,M3A,WissSchrPrs,WSP,NADOLNY,," ","https://moodle.hs-hannover.de/course/view.php?id=27114 ",
M3BII2_24/25,NAD,M3B,WissSchrPrs,WSP,NADOLNY,," ","https://moodle.hs-hannover.de/course/view.php?id=27114 ",
M3AVE3_2425,NAD,VE3,WissSchrPrs,WSP,NADOLNY,," ","https://moodle.hs-hannover.de/course/view.php?id=27114 ",
WI3_2425,WES,WI3,WissSchrPrs,WSP,WEISBERG,," ","https://moodle.hs-hannover.de/course/view.php?id=27114 ",
veu-m11,JAN,VE5,WaermetecL,WTL,JANSSEN,," ","https://moodle.hs-hannover.de/course/view.php?id=26813 Wärmetechnik-Labor, WiSe 2024/25, Janßen",
WZML-2425,LIE,PS6,Werkz.M-L,WZL,LIERSE,," ","https://moodle.hs-hannover.de/course/view.php?id=27198 ",
WZML-2425,LIE,VM1,Werkz.M-L,WZL,LIERSE,," ","https://moodle.hs-hannover.de/course/view.php?id=27198 ",
,AHL,PS6,"Werkz.M 1",WZM1,AHLERS,," ","https://moodle.hs-hannover.de/course/view.php?id=3004 ",
,AHL,PT5,"Werkz.M 1",WZM1,AHLERS,," ","https://moodle.hs-hannover.de/course/view.php?id=3011 ",
,AHL,VM1,"Werkz.M 1",WZM1,AHLERS,," ","https://moodle.hs-hannover.de/course/view.php?id=3004 ",
WZM2-2425,LIE,PS6,"Werkz.M 2",WZM2,LIERSE,," ","https://moodle.hs-hannover.de/course/view.php?id=27196 ",
WZM2-2425,LIE,VM1,"Werkz.M 2",WZM2,LIERSE,," ","https://moodle.hs-hannover.de/course/view.php?id=27196 ",
HLF-2425,,WMM,Hochleistungsfertigung,HLF,LIERSE,," ","https://moodle.hs-hannover.de/course/view.php?id=27197 ",
